areaCd,areaNm,signguCd,signguNm,sigunguCd,sigunguNm,fullRegionNm,areaNmNormalized,signguNmNormalized,fullRegionNmNormalized
44,충청남도,44133,천안시 서북구,44133,천안시 서북구,충청남도 천안시 서북구,충청남도,천안시서북구,충청남도천안시서북구
44,충청남도,44150,공주시,44150,공주시,충청남도 공주시,충청남도,공주시,충청남도공주시
44,충청남도,44180,보령시,44180,보령시,충청남도 보령시,충청남도,보령시,충청남도보령시
44,충청남도,44200,아산시,44200,아산시,충청남도 아산시,충청남도,아산시,충청남도아산시
44,충청남도,44210,서산시,44210,서산시,충청남도 서산시,충청남도,서산시,충청남도서산시
44,충청남도,44230,논산시,44230,논산시,충청남도 논산시,충청남도,논산시,충청남도논산시
44,충청남도,44250,계룡시,44250,계룡시,충청남도 계룡시,충청남도,계룡시,충청남도계룡시
44,충청남도,44270,당진시,44270,당진시,충청남도 당진시,충청남도,당진시,충청남도당진시
44,충청남도,44710,금산군,44710,금산군,충청남도 금산군,충청남도,금산군,충청남도금산군
44,충청남도,44760,부여군,44760,부여군,충청남도 부여군,충청남도,부여군,충청남도부여군
44,충청남도,44770,서천군,44770,서천군,충청남도 서천군,충청남도,서천군,충청남도서천군
44,충청남도,44790,청양군,44790,청양군,충청남도 청양군,충청남도,청양군,충청남도청양군
44,충청남도,44800,홍성군,44800,홍성군,충청남도 홍성군,충청남도,홍성군,충청남도홍성군
44,충청남도,44810,예산군,44810,예산군,충청남도 예산군,충청남도,예산군,충청남도예산군
44,충청남도,44825,태안군,44825,태안군,충청남도 태안군,충청남도,태안군,충청남도태안군
46,전라남도,46110,목포시,46110,목포시,전라남도 목포시,전라남도,목포시,전라남도목포시
46,전라남도,46130,여수시,46130,여수시,전라남도 여수시,전라남도,여수시,전라남도여수시
46,전라남도,46150,순천시,46150,순천시,전라남도 순천시,전라남도,순천시,전라남도순천시
46,전라남도,46170,나주시,46170,나주시,전라남도 나주시,전라남도,나주시,전라남도나주시
46,전라남도,46230,광양시,46230,광양시,전라남도 광양시,전라남도,광양시,전라남도광양시
46,전라남도,46710,담양군,46710,담양군,전라남도 담양군,전라남도,담양군,전라남도담양군
46,전라남도,46720,곡성군,46720,곡성군,전라남도 곡성군,전라남도,곡성군,전라남도곡성군
46,전라남도,46730,구례군,46730,구례군,전라남도 구례군,전라남도,구례군,전라남도구례군
46,전라남도,46770,고흥군,46770,고흥군,전라남도 고흥군,전라남도,고흥군,전라남도고흥군
46,전라남도,46780,보성군,46780,보성군,전라남도 보성군,전라남도,보성군,전라남도보성군
46,전라남도,46790,화순군,46790,화순군,전라남도 화순군,전라남도,화순군,전라남도화순군
46,전라남도,46800,장흥군,46800,장흥군,전라남도 장흥군,전라남도,장흥군,전라남도장흥군
46,전라남도,46810,강진군,46810,강진군,전라남도 강진군,전라남도,강진군,전라남도강진군
46,전라남도,46820,해남군,46820,해남군,전라남도 해남군,전라남도,해남군,전라남도해남군
46,전라남도,46830,영암군,46830,영암군,전라남도 영암군,전라남도,영암군,전라남도영암군
46,전라남도,46840,무안군,46840,무안군,전라남도 무안군,전라남도,무안군,전라남도무안군
46,전라남도,46860,함평군,46860,함평군,전라남도 함평군,전라남도,함평군,전라남도함평군
46,전라남도,46870,영광군,46870,영광군,전라남도 영광군,전라남도,영광군,전라남도영광군
46,전라남도,46880,장성군,46880,장성군,전라남도 장성군,전라남도,장성군,전라남도장성군
46,전라남도,46890,완도군,46890,완도군,전라남도 완도군,전라남도,완도군,전라남도완도군
46,전라남도,46900,진도군,46900,진도군,전라남도 진도군,전라남도,진도군,전라남도진도군
46,전라남도,46910,신안군,46910,신안군,전라남도 신안군,전라남도,신안군,전라남도신안군
47,경상북도,47111,포항시 남구,47111,포항시 남구,경상북도 포항시 남구,경상북도,포항시남구,경상북도포항시남구
47,경상북도,47113,포항시 북구,47113,포항시 북구,경상북도 포항시 북구,경상북도,포항시북구,경상북도포항시북구
47,경상북도,47130,경주시,47130,경주시,경상북도 경주시,경상북도,경주시,경상북도경주시
47,경상북도,47150,김천시,47150,김천시,경상북도 김천시,경상북도,김천시,경상북도김천시
47,경상북도,47170,안동시,47170,안동시,경상북도 안동시,경상북도,안동시,경상북도안동시
47,경상북도,47190,구미시,47190,구미시,경상북도 구미시,경상북도,구미시,경상북도구미시
47,경상북도,47210,영주시,47210,영주시,경상북도 영주시,경상북도,영주시,경상북도영주시
47,경상북도,47230,영천시,47230,영천시,경상북도 영천시,경상북도,영천시,경상북도영천시
47,경상북도,47250,상주시,47250,상주시,경상북도 상주시,경상북도,상주시,경상북도상주시
47,경상북도,47280,문경시,47280,문경시,경상북도 문경시,경상북도,문경시,경상북도문경시
47,경상북도,47290,경산시,47290,경산시,경상북도 경산시,경상북도,경산시,경상북도경산시
47,경상북도,47730,의성군,47730,의성군,경상북도 의성군,경상북도,의성군,경상북도의성군
47,경상북도,47750,청송군,47750,청송군,경상북도 청송군,경상북도,청송군,경상북도청송군
47,경상북도,47760,영양군,47760,영양군,경상북도 영양군,경상북도,영양군,경상북도영양군
47,경상북도,47770,영덕군,47770,영덕군,경상북도 영덕군,경상북도,영덕군,경상북도영덕군
47,경상북도,47820,청도군,47820,청도군,경상북도 청도군,경상북도,청도군,경상북도청도군
47,경상북도,47830,고령군,47830,고령군,경상북도 고령군,경상북도,고령군,경상북도고령군
47,경상북도,47840,성주군,47840,성주군,경상북도 성주군,경상북도,성주군,경상북도성주군
47,경상북도,47850,칠곡군,47850,칠곡군,경상북도 칠곡군,경상북도,칠곡군,경상북도칠곡군
47,경상북도,47900,예천군,47900,예천군,경상북도 예천군,경상북도,예천군,경상북도예천군
47,경상북도,47920,봉화군,47920,봉화군,경상북도 봉화군,경상북도,봉화군,경상북도봉화군
47,경상북도,47930,울진군,47930,울진군,경상북도 울진군,경상북도,울진군,경상북도울진군
47,경상북도,47940,울릉군,47940,울릉군,경상북도 울릉군,경상북도,울릉군,경상북도울릉군
48,경상남도,48121,창원시 의창구,48121,창원시 의창구,경상남도 창원시 의창구,경상남도,창원시의창구,경상남도창원시의창구
48,경상남도,48123,창원시 성산구,48123,창원시 성산구,경상남도 창원시 성산구,경상남도,창원시성산구,경상남도창원시성산구
48,경상남도,48125,창원시 마산합포구,48125,창원시 마산합포구,경상남도 창원시 마산합포구,경상남도,창원시마산합포구,경상남도창원시마산합포구
48,경상남도,48127,창원시 마산회원구,48127,창원시 마산회원구,경상남도 창원시 마산회원구,경상남도,창원시마산회원구,경상남도창원시마산회원구
48,경상남도,48129,창원시 진해구,48129,창원시 진해구,경상남도 창원시 진해구,경상남도,창원시진해구,경상남도창원시진해구
48,경상남도,48170,진주시,48170,진주시,경상남도 진주시,경상남도,진주시,경상남도진주시
48,경상남도,48220,통영시,48220,통영시,경상남도 통영시,경상남도,통영시,경상남도통영시
48,경상남도,48240,사천시,48240,사천시,경상남도 사천시,경상남도,사천시,경상남도사천시
48,경상남도,48250,김해시,48250,김해시,경상남도 김해시,경상남도,김해시,경상남도김해시
48,경상남도,48270,밀양시,48270,밀양시,경상남도 밀양시,경상남도,밀양시,경상남도밀양시
48,경상남도,48310,거제시,48310,거제시,경상남도 거제시,경상남도,거제시,경상남도거제시
48,경상남도,48330,양산시,48330,양산시,경상남도 양산시,경상남도,양산시,경상남도양산시
48,경상남도,48720,의령군,48720,의령군,경상남도 의령군,경상남도,의령군,경상남도의령군
48,경상남도,48730,함안군,48730,함안군,경상남도 함안군,경상남도,함안군,경상남도함안군
48,경상남도,48740,창녕군,48740,창녕군,경상남도 창녕군,경상남도,창녕군,경상남도창녕군
48,경상남도,48820,고성군,48820,고성군,경상남도 고성군,경상남도,고성군,경상남도고성군
48,경상남도,48840,남해군,48840,남해군,경상남도 남해군,경상남도,남해군,경상남도남해군
48,경상남도,48850,하동군,48850,하동군,경상남도 하동군,경상남도,하동군,경상남도하동군
48,경상남도,48860,산청군,48860,산청군,경상남도 산청군,경상남도,산청군,경상남도산청군
48,경상남도,48870,함양군,48870,함양군,경상남도 함양군,경상남도,함양군,경상남도함양군
48,경상남도,48880,거창군,48880,거창군,경상남도 거창군,경상남도,거창군,경상남도거창군
48,경상남도,48890,합천군,48890,합천군,경상남도 합천군,경상남도,합천군,경상남도합천군
50,제주특별자치도,50110,제주시,50110,제주시,제주특별자치도 제주시,제주특별자치도,제주시,제주특별자치도제주시
50,제주특별자치도,50130,서귀포시,50130,서귀포시,제주특별자치도 서귀포시,제주특별자치도,서귀포시,제주특별자치도서귀포시
51,강원특별자치도,51110,춘천시,51110,춘천시,강원특별자치도 춘천시,강원특별자치도,춘천시,강원특별자치도춘천시
51,강원특별자치도,51130,원주시,51130,원주시,강원특별자치도 원주시,강원특별자치도,원주시,강원특별자치도원주시
51,강원특별자치도,51150,강릉시,51150,강릉시,강원특별자치도 강릉시,강원특별자치도,강릉시,강원특별자치도강릉시
51,강원특별자치도,51170,동해시,51170,동해시,강원특별자치도 동해시,강원특별자치도,동해시,강원특별자치도동해시
51,강원특별자치도,51190,태백시,51190,태백시,강원특별자치도 태백시,강원특별자치도,태백시,강원특별자치도태백시
51,강원특별자치도,51210,속초시,51210,속초시,강원특별자치도 속초시,강원특별자치도,속초시,강원특별자치도속초시
51,강원특별자치도,51230,삼척시,51230,삼척시,강원특별자치도 삼척시,강원특별자치도,삼척시,강원특별자치도삼척시
51,강원특별자치도,51720,홍천군,51720,홍천군,강원특별자치도 홍천군,강원특별자치도,홍천군,강원특별자치도홍천군
51,강원특별자치도,51730,횡성군,51730,횡성군,강원특별자치도 횡성군,강원특별자치도,횡성군,강원특별자치도횡성군
51,강원특별자치도,51750,영월군,51750,영월군,강원특별자치도 영월군,강원특별자치도,영월군,강원특별자치도영월군
51,강원특별자치도,51760,평창군,51760,평창군,강원특별자치도 평창군,강원특별자치도,평창군,강원특별자치도평창군
51,강원특별자치도,51770,정선군,51770,정선군,강원특별자치도 정선군,강원특별자치도,정선군,강원특별자치도정선군
51,강원특별자치도,51780,철원군,51780,철원군,강원특별자치도 철원군,강원특별자치도,철원군,강원특별자치도철원군
51,강원특별자치도,51790,화천군,51790,화천군,강원특별자치도 화천군,강원특별자치도,화천군,강원특별자치도화천군
51,강원특별자치도,51800,양구군,51800,양구군,강원특별자치도 양구군,강원특별자치도,양구군,강원특별자치도양구군
51,강원특별자치도,51810,인제군,51810,인제군,강원특별자치도 인제군,강원특별자치도,인제군,강원특별자치도인제군
51,강원특별자치도,51820,고성군,51820,고성군,강원특별자치도 고성군,강원특별자치도,고성군,강원특별자치도고성군
51,강원특별자치도,51830,양양군,51830,양양군,강원특별자치도 양양군,강원특별자치도,양양군,강원특별자치도양양군
52,전북특별자치도,52111,전주시 완산구,52111,전주시 완산구,전북특별자치도 전주시 완산구,전북특별자치도,전주시완산구,전북특별자치도전주시완산구
52,전북특별자치도,52113,전주시 덕진구,52113,전주시 덕진구,전북특별자치도 전주시 덕진구,전북특별자치도,전주시덕진구,전북특별자치도전주시덕진구
52,전북특별자치도,52130,군산시,52130,군산시,전북특별자치도 군산시,전북특별자치도,군산시,전북특별자치도군산시
52,전북특별자치도,52140,익산시,52140,익산시,전북특별자치도 익산시,전북특별자치도,익산시,전북특별자치도익산시
52,전북특별자치도,52180,정읍시,52180,정읍시,전북특별자치도 정읍시,전북특별자치도,정읍시,전북특별자치도정읍시
52,전북특별자치도,52190,남원시,52190,남원시,전북특별자치도 남원시,전북특별자치도,남원시,전북특별자치도남원시
52,전북특별자치도,52210,김제시,52210,김제시,전북특별자치도 김제시,전북특별자치도,김제시,전북특별자치도김제시
52,전북특별자치도,52710,완주군,52710,완주군,전북특별자치도 완주군,전북특별자치도,완주군,전북특별자치도완주군
52,전북특별자치도,52720,진안군,52720,진안군,전북특별자치도 진안군,전북특별자치도,진안군,전북특별자치도진안군
52,전북특별자치도,52730,무주군,52730,무주군,전북특별자치도 무주군,전북특별자치도,무주군,전북특별자치도무주군
52,전북특별자치도,52740,장수군,52740,장수군,전북특별자치도 장수군,전북특별자치도,장수군,전북특별자치도장수군
52,전북특별자치도,52750,임실군,52750,임실군,전북특별자치도 임실군,전북특별자치도,임실군,전북특별자치도임실군
52,전북특별자치도,52770,순창군,52770,순창군,전북특별자치도 순창군,전북특별자치도,순창군,전북특별자치도순창군
52,전북특별자치도,52790,고창군,52790,고창군,전북특별자치도 고창군,전북특별자치도,고창군,전북특별자치도고창군
52,전북특별자치도,52800,부안군,52800,부안군,전북특별자치도 부안군,전북특별자치도,부안군,전북특별자치도부안군
